title,genre
The Shawshank Redemption,Crime
The Godfather,Crime
The Godfather: Part II,Crime
The Dark Knight,Action
Pulp Fiction,Crime
12 Angry Men,Drama
"The Good, the Bad and the Ugly",Western
The Lord of the Rings: The Return of the King,Adventure
Schindler's List,Biography
Fight Club,Drama
The Lord of the Rings: The Fellowship of the Ring,Adventure
Inception,Action
Star Wars: Episode V - The Empire Strikes Back,Action
Forrest Gump,Drama
The Lord of the Rings: The Two Towers,Adventure
Interstellar,Adventure
One Flew Over the Cuckoo's Nest,Drama
Seven Samurai,Drama
Goodfellas,Biography
Star Wars,Action
The Matrix,Action
City of God,Crime
It's a Wonderful Life,Drama
The Usual Suspects,Crime
Se7en,Drama
Life Is Beautiful,Comedy
Once Upon a Time in the West,Western
The Silence of the Lambs,Drama
Leon: The Professional,Crime
City Lights,Comedy
Spirited Away,Animation
The Intouchables,Biography
Casablanca,Drama
Whiplash,Drama
American History X,Crime
Modern Times,Comedy
Saving Private Ryan,Action
Raiders of the Lost Ark,Action
Rear Window,Mystery
Psycho,Horror
The Green Mile,Crime
Sunset Blvd.,Drama
The Pianist,Biography
The Dark Knight Rises,Action
Gladiator,Action
Terminator 2: Judgment Day,Action
Memento,Mystery
Taare Zameen Par,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy
The Departed,Crime
Cinema Paradiso,Drama
Apocalypse Now,Drama
The Great Dictator,Comedy
The Prestige,Drama
Back to the Future,Adventure
The Lion King,Animation
The Lives of Others,Drama
Alien,Horror
Paths of Glory,Drama
Django Unchained,Western
3 Idiots,Comedy
Grave of the Fireflies,Animation
The Shining,Horror
M,Crime
WALL-E,Animation
Witness for the Prosecution,Crime
Munna Bhai M.B.B.S.,Comedy
American Beauty,Drama
Das Boot,Adventure
Princess Mononoke,Animation
Amelie,Comedy
North by Northwest,Adventure
Rang De Basanti,Drama
Jodaeiye Nader az Simin,Drama
Citizen Kane,Drama
Aliens,Action
Vertigo,Mystery
Oldeuboi,Drama
Once Upon a Time in America,Crime
Double Indemnity,Crime
Star Wars: Episode VI - Return of the Jedi,Action
Toy Story 3,Animation
Braveheart,Action
To Kill a Mockingbird,Drama
Requiem for a Dream,Drama
Lawrence of Arabia,Adventure
A Clockwork Orange,Crime
Bicycle Thieves,Drama
The Kid,Comedy
Swades,Drama
Reservoir Dogs,Crime
Eternal Sunshine of the Spotless Mind,Drama
Taxi Driver,Crime
Dilwale Dulhania Le Jayenge,Comedy
Singin' in the Rain,Comedy
All About Eve,Drama
Yojimbo,Action
The Sting,Comedy
Rashomon,Crime
Amadeus,Biography
The Treasure of the Sierra Madre,Action
Monty Python and the Holy Grail,Adventure
Full Metal Jacket,Drama
The Apartment,Comedy
Ikiru,Drama
The Third Man,Film-Noir
Snatch.,Comedy
For a Few Dollars More,Western
Metropolis,Drama
Dil Chahta Hai,Comedy
2001: A Space Odyssey,Mystery
Some Like It Hot,Comedy
L.A. Confidential,Crime
Batman Begins,Action
Inglourious Basterds,Adventure
Scarface,Crime
Mr. Smith Goes to Washington,Drama
Toy Story,Animation
Indiana Jones and the Last Crusade,Action
Unforgiven,Western
The Great Escape,Adventure
Jagten,Drama
On the Waterfront,Crime
The General,Action
Raging Bull,Biography
Downfall,Biography
Up,Animation
Wild Strawberries,Drama
The Gold Rush,Adventure
Ran,Action
Chinatown,Drama
My Neighbor Totoro,Animation
Judgment at Nuremberg,Drama
Barfi!,Adventure
The Seventh Seal,Drama
Heat,Action
Pan's Labyrinth,Drama
The Bridge on the River Kwai,Adventure
Die Hard,Action
Good Will Hunting,Drama
The Wages of Fear,Adventure
The Secret in Their Eyes,Drama
Lagaan: Once Upon a Time in India,Adventure
The Wolf of Wall Street,Biography
It Happened One Night,Comedy
Blade Runner,Sci-Fi
Warrior,Drama
Howl's Moving Castle,Animation
The Elephant Man,Biography
Rebecca,Mystery
Incendies,Drama
"Lock, Stock and Two Smoking Barrels",Comedy
V for Vendetta,Action
The Big Lebowski,Comedy
Cool Hand Luke,Crime
Relatos salvajes,Comedy
Casino,Biography
Gone with the Wind,Drama
Gone Girl,Drama
The Best Years of Our Lives,Drama
How to Train Your Dragon,Animation
Diabolique,Horror
Gran Torino,Drama
Rush,Action
Into the Wild,Adventure
My Sassy Girl,Comedy
The Deer Hunter,Drama
Mary and Max,Animation
Hachi: A Dog's Tale,Drama
The Maltese Falcon,Crime
A Beautiful Mind,Biography
Dial M for Murder,Crime
Trainspotting,Drama
Tae Guk Gi: The Brotherhood of War,Action
Persona,Drama
Touch of Evil,Crime
Fargo,Crime
The Avengers,Action
The 400 Blows,Crime
The Princess Bride,Adventure
Hotel Rwanda,Drama
Stalker,Drama
The Battle of Algiers,Crime
Underground,Comedy
Fanny and Alexander,Drama
Network,Drama
The Thing,Horror
Butch Cassidy and the Sundance Kid,Biography
The Grapes of Wrath,Drama
"Black Cat, White Cat",Comedy
Life of Brian,Comedy
The Sixth Sense,Drama
Finding Nemo,Animation
Nausicaa of the Valley of the Wind,Animation
Kingsman: The Secret Service,Action
Platoon,Drama
Guardians of the Galaxy,Action
In the Name of the Father,Biography
Kill Bill: Vol. 1,Action
No Country for Old Men,Crime
Le Samourai,Crime
12 Years a Slave,Biography
La leggenda del pianista sull'oceano,Drama
8 1/2,Drama
Ben-Hur,Adventure
Amores Perros,Drama
Stand by Me,Adventure
What Ever Happened to Baby Jane?,Drama
Annie Hall,Comedy
The Imitation Game,Biography
Laura,Film-Noir
Departures,Drama
Infernal Affairs,Crime
There Will Be Blood,Drama
The Grand Budapest Hotel,Adventure
La Strada,Drama
Sin City,Crime
Memories of Murder,Crime
Donnie Darko,Drama
Who's Afraid of Virginia Woolf?,Drama
Gandhi,Biography
Solaris,Drama
Harry Potter and the Deathly Hallows: Part 2,Adventure
"Paris, Texas",Drama
